team_id,shortName,teamName,head_coach,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals
12,Carolina,Hurricanes,Bill Peters,137,816.0,10249.0,6711.0,2099.0,948.0,170.0,17498.6,2965.0,3231.0,4138.0,846,927
12,Carolina,Hurricanes,Kirk Muller,80,484.0,5860.0,4066.0,1694.0,625.0,100.0,9647.3,1429.0,1647.0,2627.0,504,534
12,Carolina,Hurricanes,Paul Maurice,219,1345.0,15481.0,7012.0,6309.0,2384.0,389.0,4886.6,2104.0,2297.0,4213.0,1338,1500
12,Carolina,Hurricanes,Peter Laviolette,167,957.0,10010.0,6176.0,4295.0,1758.0,281.0,0.0,2432.0,2197.0,4447.0,958,985
12,Carolina,Hurricanes,Rod Brind'Amour,381,2075.0,22965.0,16120.0,5593.0,2115.0,393.0,34169.2,7482.0,6872.0,8605.0,1902,2103
13,Florida,Panthers,Bob Boughner,188,1301.0,13643.0,9257.0,3651.0,1325.0,335.0,20527.1,6012.0,3742.0,5724.0,1229,1453
13,Florida,Panthers,Duane Sutter,22,174.0,1891.0,0.0,1447.0,297.0,47.0,0.0,0.0,0.0,0.0,186,205
13,Florida,Panthers,Gerard Gallant,98,499.0,5778.0,4829.0,1805.0,614.0,100.0,9459.7,1359.0,1254.0,2264.0,489,526
13,Florida,Panthers,Jacques Martin,110,692.0,8003.0,4458.0,3486.0,1061.0,184.0,0.0,2075.0,1484.0,2858.0,671,772
13,Florida,Panthers,Joel Quenneville,144,937.0,9340.0,5428.0,2160.0,901.0,196.0,14632.6,3433.0,2536.0,4083.0,945,962
13,Florida,Panthers,John Torchetti,9,60.0,663.0,282.0,338.0,98.0,17.0,0.0,200.0,130.0,282.0,61,63
13,Florida,Panthers,Kevin Dineen,59,354.0,4479.0,3566.0,1623.0,509.0,96.0,7636.1,911.0,1055.0,1955.0,382,455
13,Florida,Panthers,Mike Keenan,45,335.0,4178.0,1302.0,2825.0,647.0,89.0,0.0,353.0,271.0,452.0,406,375
13,Florida,Panthers,Peter DeBoer,103,624.0,7236.0,5267.0,2593.0,884.0,130.0,4267.2,1588.0,1571.0,3633.0,645,696
13,Florida,Panthers,Peter Horachek,26,157.0,2002.0,1524.0,624.0,215.0,22.0,3212.4,380.0,415.0,759.0,179,196
13,Florida,Panthers,Rick Dudley,14,97.0,1196.0,772.0,534.0,147.0,27.0,0.0,377.0,232.0,551.0,96,119
13,Florida,Panthers,Terry Murray,6,78.0,949.0,0.0,678.0,162.0,17.0,0.0,0.0,0.0,0.0,99,88
13,Florida,Panthers,Tom Rowe,24,150.0,1978.0,1222.0,642.0,190.0,34.0,2854.1,594.0,450.0,680.0,167,165
14,Tampa Bay,Lightning,Barry Melrose,5,33.0,461.0,330.0,229.0,69.0,11.0,0.0,138.0,115.0,209.0,40,40
14,Tampa Bay,Lightning,Dan Lacroix,1,2.0,25.0,15.0,15.0,5.0,1.0,66.7,7.0,8.0,17.0,1,2
14,Tampa Bay,Lightning,Guy Boucher,108,633.0,6179.0,4620.0,2355.0,787.0,148.0,10585.1,1613.0,1421.0,3302.0,592,711
14,Tampa Bay,Lightning,John Tortorella,239,1450.0,15446.0,5444.0,6832.0,2406.0,401.0,0.0,3166.0,2794.0,4415.0,1443,1579
14,Tampa Bay,Lightning,Jon Cooper,770,4038.0,37834.0,31453.0,12530.0,3841.0,891.0,60441.1,10378.0,8249.0,16604.0,3566,3812
14,Tampa Bay,Lightning,Martin Raymond,0,2.0,25.0,18.0,8.0,5.0,1.0,46.6,6.0,3.0,15.0,2,3
14,Tampa Bay,Lightning,Rick Tocchet,53,387.0,4244.0,3174.0,2454.0,600.0,113.0,0.0,1201.0,960.0,2003.0,418,468
14,Tampa Bay,Lightning,Steve Ludzik,12,103.0,968.0,0.0,602.0,215.0,30.0,0.0,0.0,0.0,0.0,97,141
15,Washington,Capitals,Adam Oates,68,383.0,3989.0,3239.0,1552.0,471.0,115.0,6745.5,1088.0,928.0,2106.0,378,404
15,Washington,Capitals,Barry Trotz,241,1181.0,11838.0,10086.0,3727.0,1172.0,275.0,19653.9,3776.0,2882.0,5943.0,1016,1143
15,Washington,Capitals,Bruce Boudreau,205,1083.0,10896.0,7240.0,3893.0,1284.0,280.0,5799.6,3410.0,2822.0,4750.0,957,1084
15,Washington,Capitals,Bruce Cassidy,47,294.0,2929.0,801.0,1657.0,455.0,82.0,0.0,807.0,384.0,599.0,281,322
15,Washington,Capitals,Dale Hunter,37,178.0,2008.0,1938.0,680.0,198.0,34.0,3693.5,718.0,520.0,1322.0,173,195
15,Washington,Capitals,Glen Hanlon,78,627.0,6592.0,4316.0,3907.0,1204.0,192.0,0.0,2797.0,1926.0,3110.0,692,763
15,Washington,Capitals,Ron Wilson,77,461.0,4641.0,0.0,2184.0,652.0,133.0,0.0,0.0,0.0,0.0,416,496
15,Washington,Capitals,Todd Reirden,376,2172.0,20348.0,16660.0,6376.0,2016.0,408.0,30963.6,7548.0,5264.0,9660.0,2068,2172
16,Chicago,Blackhawks,Alpo Suhonen,29,202.0,2079.0,0.0,962.0,310.0,38.0,0.0,0.0,0.0,0.0,231,204
16,Chicago,Blackhawks,Brian Sutter,91,611.0,6951.0,1636.0,3741.0,959.0,148.0,0.0,698.0,376.0,1118.0,598,705
16,Chicago,Blackhawks,DENIS SAVARD & AL MA,0,8.0,81.0,0.0,39.0,8.0,3.0,0.0,0.0,0.0,0.0,8,13
16,Chicago,Blackhawks,Denis Savard,65,391.0,4074.0,2566.0,2430.0,648.0,88.0,0.0,776.0,740.0,1650.0,387,452
16,Chicago,Blackhawks,Eddie Oatman,4,28.0,640.0,408.0,80.0,44.0,4.0,1045.2,152.0,120.0,248.0,32,48
16,Chicago,Blackhawks,Jeremy Colliton,257,1778.0,17830.0,11089.0,4188.0,1678.0,303.0,27834.2,5844.0,4440.0,8051.0,1778,1900
16,Chicago,Blackhawks,Joel Quenneville,521,2769.0,30232.0,17147.0,8530.0,3084.0,565.0,38659.0,7187.0,7113.0,12522.0,2505,2834
